review_id,kind,key,detail,suggestion,blocks_mapping,status
R-2773702de596,cohort_exception_candidate,haval/v7,"trims differ in powertrain: {'hev': 1, 'phev': 1}",keep as variant observations (default) OR approve a cohort exception if the architecture differs,no,open
R-285c1bc25e9e,cohort_exception_candidate,hyundai/tucson (candidate line 21),candidate notes describe a separate cohort/generation,decide: same model (attribute) or cohort exception,no,open
R-3dc4af82115f,cohort_exception_candidate,kaiyi/x7,"trims differ in powertrain: {'petrol': 1, 'phev': 1}",keep as variant observations (default) OR approve a cohort exception if the architecture differs,no,open
R-687e925ddc06,cohort_exception_candidate,kia/sportage (candidate line 27),candidate notes describe a separate cohort/generation,decide: same model (attribute) or cohort exception,no,open
R-017320ac56a7,cohort_exception_candidate,mg/hs,"trims differ in powertrain: {'petrol': 1, 'hev': 1}",keep as variant observations (default) OR approve a cohort exception if the architecture differs,no,open
R-1b4fa8109009,cohort_exception_candidate,mg/zs (candidate line 81),candidate notes describe a separate cohort/generation,decide: same model (attribute) or cohort exception,no,open
R-a9b0091ae9d0,cohort_exception_candidate,nissan/qashqai,"trims differ in powertrain: {'petrol': 5, 'hev': 2}",keep as variant observations (default) OR approve a cohort exception if the architecture differs,no,open
R-d960bbb21140,cohort_exception_candidate,nissan/x-trail,"trims differ in powertrain: {'petrol': 3, 'hev': 1}",keep as variant observations (default) OR approve a cohort exception if the architecture differs,no,open
R-8fb6a56e11ec,cohort_exception_candidate,skoda/kodiaq (candidate line 118),candidate notes describe a separate cohort/generation,decide: same model (attribute) or cohort exception,no,open
R-39c2e38ac654,cohort_exception_candidate,soueast/s-06,"trims differ in powertrain: {'petrol': 2, 'phev': 1, 'hev': 3}",keep as variant observations (default) OR approve a cohort exception if the architecture differs,no,open
R-10426e754adb,cohort_exception_candidate,toyota/corolla,"trims differ in powertrain: {'petrol': 5, 'hev': 1}",keep as variant observations (default) OR approve a cohort exception if the architecture differs,no,open
R-7c09dd5ee96a,duplicate_candidate,Soueast | S 05 | 2027 | Highline (1 trim),2 identical candidate rows,keep one; rows compared in investigations.json,no,open
R-9a8172b5a443,duplicate_candidate,Soueast | S 07 | 2027 | Highline/Premium (2 trims),2 identical candidate rows,keep one; rows compared in investigations.json,no,open
R-efbc9aaa3c26,duplicate_candidate,Soueast | S 09 | 2027 | Premium (1 trim),2 identical candidate rows,keep one; rows compared in investigations.json,no,open
R-edafda5e7e5c,duplicate_candidate,Volkswagen | Golf | 2025 | Life (1 trim),2 identical candidate rows,keep one; rows compared in investigations.json,no,open
R-b9b1d163886a,duplicate_candidate,Volkswagen | Tiguan | 2026 | R-Line (1 trim),2 identical candidate rows,keep one; rows compared in investigations.json,no,open
R-5b73a307384a,model_spelling_normalized,baic/x55,"spellings {'X 55': 3, 'X55': 1}","display ""X55""; confirm",no,open
R-c3e9fc33faac,model_spelling_normalized,chery/arrizo-6-gt,"spellings {'Arrizo 6 GT': 2, 'Arrizo 6 gt': 1}","display ""Arrizo 6 GT""; confirm",no,open
R-62244a5f78f8,model_spelling_normalized,chery/eq7,"spellings {'eQ7': 1, 'EQ7': 1}","display ""eQ7""; confirm",no,open
R-f1f53847364d,model_spelling_normalized,chery/tiggo-4-pro,"spellings {'Tiggo 4 PRO': 3, 'Tiggo 4 Pro': 1}","display ""Tiggo 4 Pro""; confirm",no,open
R-6ee5232e1e50,model_spelling_normalized,chery/tiggo-7-pro,"spellings {'Tiggo 7 Pro': 2, 'Tiggo 7 pro': 2}","display ""Tiggo 7 Pro""; confirm",no,open
R-5da1535a1cd8,model_spelling_normalized,chery/tiggo-7-pro-max,"spellings {'Tiggo 7 Pro Max': 2, 'Tiggo 7 pro max': 1}","display ""Tiggo 7 Pro Max""; confirm",no,open
R-8f234f0d135f,model_spelling_normalized,chery/tiggo-8-pro,"spellings {'Tiggo 8 PRO': 2, 'Tiggo 8 Pro': 1}","display ""Tiggo 8 Pro""; confirm",no,open
R-9a52db51e235,model_spelling_normalized,citroen/c4-x,"spellings {'C4X': 2, 'C4 X': 3}","display ""C4 X""; confirm",no,open
R-3c6ea411b21e,model_spelling_normalized,gac/gs4-max,"spellings {'GS4 max': 1, 'GS4 Max': 3}","display ""GS4 Max""; confirm",no,open
R-4517f451e5c0,model_spelling_normalized,honda/cr-v,"spellings {'CRV': 2, 'CR-V': 1}","display ""CR-V""; confirm",no,open
R-6f01799038c3,model_spelling_normalized,honda/zr-v,"spellings {'ZRV': 2, 'ZR-V': 1}","display ""ZR-V""; confirm",no,open
R-701ecfc392b7,model_spelling_normalized,hyundai/i30,"spellings {'i 30': 9, 'i30': 6}","display ""i30""; confirm",no,open
R-7fb00fa72560,model_spelling_normalized,mazda/cx-3,"spellings {'CX-3': 1, 'Cx 3': 1, 'CX 3': 1}","display ""CX-3""; confirm",no,open
R-ad54d9c442b6,model_spelling_normalized,opel/grandland,"spellings {'Grand Land': 11, 'Grandland': 3}","display ""Grandland""; confirm",no,open
R-495dbc76ad64,model_spelling_normalized,vgv/u70p-plus,"spellings {'U70P Plus': 1, 'U70 P plus': 1}","display ""U70P Plus""; confirm",no,open
R-37700e66f15a,model_spelling_normalized,volvo/es90,"spellings {'ES 90': 1, 'ES90': 1}","display ""ES90""; confirm",no,open
R-da395d4c3054,model_spelling_normalized,volvo/xc60,"spellings {'XC60': 3, 'XC 60': 3}","display ""XC60""; confirm",no,open
R-75aa5fb776f5,model_spelling_normalized,volvo/xc90,"spellings {'XC90': 1, 'XC 90': 1}","display ""XC90""; confirm",no,open
R-54d71a3f947b,same_model_or_separate:generation_or_assembly_suffix,bmw/ix3 | bmw/ix3-neue-klasse,"""iX3 Neue Klasse"" extends ""iX3""; kept as separate models",merge as alias (default for trims/assembly/facelift) OR keep separate / cohort exception (different generation or architecture),no,open
R-59a9e80bc53d,same_model_or_separate:generation_or_assembly_suffix,citroen/c4 | citroen/c4-facelift,"""C4 Facelift"" extends ""C4""; kept as separate models",merge as alias (default for trims/assembly/facelift) OR keep separate / cohort exception (different generation or architecture),no,open
R-3be4af61856a,same_model_or_separate:generation_or_assembly_suffix,haval/jolion | haval/jolion-ckd,"""Jolion CKD"" extends ""Jolion""; kept as separate models",merge as alias (default for trims/assembly/facelift) OR keep separate / cohort exception (different generation or architecture),no,open
R-bf189141d08d,same_model_or_separate:generation_or_assembly_suffix,hyundai/elantra | hyundai/elantra-ad,"""Elantra AD"" extends ""Elantra""; kept as separate models",merge as alias (default for trims/assembly/facelift) OR keep separate / cohort exception (different generation or architecture),no,open
R-99dbe2dd5103,same_model_or_separate:generation_or_assembly_suffix,hyundai/elantra | hyundai/elantra-cn7,"""Elantra CN7"" extends ""Elantra""; kept as separate models",merge as alias (default for trims/assembly/facelift) OR keep separate / cohort exception (different generation or architecture),no,open
R-e669330540bf,same_model_or_separate:generation_or_assembly_suffix,hyundai/tucson | hyundai/tucson-nx4e,"""Tucson NX4e"" extends ""Tucson""; kept as separate models",merge as alias (default for trims/assembly/facelift) OR keep separate / cohort exception (different generation or architecture),no,open
R-0e9751e7710b,same_model_or_separate:generation_or_assembly_suffix,jetour/x70 | jetour/x70-facelift,"""X70 - facelift"" extends ""X70""; kept as separate models",merge as alias (default for trims/assembly/facelift) OR keep separate / cohort exception (different generation or architecture),no,open
R-c2ce93b10562,same_model_or_separate:generation_or_assembly_suffix,skoda/octavia | skoda/octavia-a8,"""Octavia A8"" extends ""Octavia""; kept as separate models",merge as alias (default for trims/assembly/facelift) OR keep separate / cohort exception (different generation or architecture),no,open
R-54ef647228bf,same_model_or_separate:powertrain_suffix,audi/q8 | audi/q8-e-tron,"""Q8 E-tron"" extends ""Q8""; kept as separate models",merge as alias (default for trims/assembly/facelift) OR keep separate / cohort exception (different generation or architecture),no,open
R-493f1156b8ad,same_model_or_separate:powertrain_suffix,byd/song-l | byd/song-l-dm-i,"""Song L DM-i"" extends ""Song L""; kept as separate models",merge as alias (default for trims/assembly/facelift) OR keep separate / cohort exception (different generation or architecture),no,open
R-765a17248c45,same_model_or_separate:powertrain_suffix,cadillac/escalade | cadillac/escalade-iq,"""Escalade IQ"" extends ""Escalade""; kept as separate models",merge as alias (default for trims/assembly/facelift) OR keep separate / cohort exception (different generation or architecture),no,open
R-e21ccc8c7643,same_model_or_separate:powertrain_suffix,cadillac/escalade | cadillac/escalade-iql,"""Escalade IQL"" extends ""Escalade""; kept as separate models",merge as alias (default for trims/assembly/facelift) OR keep separate / cohort exception (different generation or architecture),no,open
R-3a9ffbc14361,same_model_or_separate:powertrain_suffix,chevrolet/captiva | chevrolet/captiva-ev,"""Captiva EV"" extends ""Captiva""; kept as separate models",merge as alias (default for trims/assembly/facelift) OR keep separate / cohort exception (different generation or architecture),no,open
R-a4f44e98e251,same_model_or_separate:powertrain_suffix,geely/ex5 | geely/ex5-em-i,"""EX5 EM-i"" extends ""EX5""; kept as separate models",merge as alias (default for trims/assembly/facelift) OR keep separate / cohort exception (different generation or architecture),no,open
R-db204f01dd39,same_model_or_separate:powertrain_suffix,haval/h6 | haval/h6-hev,"""H6 HEV"" extends ""H6""; kept as separate models",merge as alias (default for trims/assembly/facelift) OR keep separate / cohort exception (different generation or architecture),no,open
R-1326b7b9594d,same_model_or_separate:powertrain_suffix,porsche/macan | porsche/macan-electric,"""Macan Electric"" extends ""Macan""; kept as separate models",merge as alias (default for trims/assembly/facelift) OR keep separate / cohort exception (different generation or architecture),no,open
R-f18b8574dbf3,suspect_value,mg/4 body_type,single source (ContactCars) says SUV; no corroboration,check MG Egypt / Mansour listing for the body type,no,open
R-f64aaa02b4d7,trim_price_conflict,geely/starray / sportaboughaly,2 different official prices for the same trim and model year,check which source is current; never averaged,no,open
R-9e2bd4664a03,trim_price_conflict,geely/starray / sportautomobility,2 different official prices for the same trim and model year,check which source is current; never averaged,no,open
R-e828a593b61e,trim_price_conflict,hyundai/tucson / blackdiamond,4 different official prices for the same trim and model year,check which source is current; never averaged,no,open
R-69c595e1b235,trim_price_conflict,hyundai/tucson / blaze,4 different official prices for the same trim and model year,check which source is current; never averaged,no,open
R-19411ab9455a,trim_price_conflict,hyundai/tucson / night,4 different official prices for the same trim and model year,check which source is current; never averaged,no,open
R-57216f6d83cd,trim_price_conflict,hyundai/tucson / nline,3 different official prices for the same trim and model year,check which source is current; never averaged,no,open
R-75cacedeea33,trim_price_conflict,hyundai/tucson / shadow,4 different official prices for the same trim and model year,check which source is current; never averaged,no,open
R-e7f7f6cb7fbd,trim_price_conflict,mazda/cx-3 / highline,2 different official prices for the same trim and model year,check which source is current; never averaged,no,open
R-e545b9db791b,trim_price_conflict,nissan/magnite / tekna,2 different official prices for the same trim and model year,check which source is current; never averaged,no,open
R-438939e15992,trim_price_conflict,nissan/qashqai / nconnecta,2 different official prices for the same trim and model year,check which source is current; never averaged,no,open
R-d2965b69881d,trim_price_conflict,nissan/x-trail / acentaplus,2 different official prices for the same trim and model year,check which source is current; never averaged,no,open
R-7b14608e30d9,trim_price_conflict,nissan/x-trail / ntrek,2 different official prices for the same trim and model year,check which source is current; never averaged,no,open
R-35c04c3014a4,trim_price_conflict,opel/grandland / attopline,2 different official prices for the same trim and model year,check which source is current; never averaged,no,open
R-8740aa0a96e1,trim_price_conflict,volvo/xc60 / blackedition,2 different official prices for the same trim and model year,check which source is current; never averaged,no,open
R-560fc6a35a00,trim_price_conflict,volvo/xc60 / essential,2 different official prices for the same trim and model year,check which source is current; never averaged,no,open
R-b0c0f987e72d,trim_price_conflict,volvo/xc60 / ultimatedark,2 different official prices for the same trim and model year,check which source is current; never averaged,no,open
