source,source_url,collection_date,price_date,brand_raw,brand_normalized,model_raw,model_normalized,variant_raw,model_year,body_type_raw,body_type_normalized,powertrain_raw,fuel_type_raw,engine_raw,engine_capacity,horsepower,torque,transmission,drive_type,battery_capacity,electric_range,seats,length,width,height,wheelbase,trunk_capacity,fuel_consumption,warranty,official_price,market_price,starting_price,discounted_price,currency,notes,master_row
ContactCars,https://www.contactcars.com/en/new-cars/hyundai-tucson/year-2026,2026-09-10,,Hyundai,Hyundai,Tucson,Tucson,REDLINE N PACK,2026,SUV,SUV,,Gas,,,,,Dual Clutch,,,,5,,,,,,,,"2,025,000","2,025,000",,,EGP,"Assembled Czechia, Origin South Korea",136
ContactCars,https://www.contactcars.com/en/new-cars/hyundai-tucson/year-2026,2026-09-10,,Hyundai,Hyundai,Tucson,Tucson,NIGHT,2026,SUV,SUV,,Gas,,,,,Dual Clutch,,,,5,,,,,,,,"2,100,000",Unavailable,,,EGP,"Assembled Czechia, Origin South Korea",137
ContactCars,https://www.contactcars.com/en/new-cars/hyundai-tucson/year-2026,2026-09-10,,Hyundai,Hyundai,Tucson,Tucson,BLACK DIAMOND,2026,SUV,SUV,,Gas,,,,,Dual Clutch,,,,5,,,,,,,,"2,200,000",Unavailable,,,EGP,"Assembled Czechia, Origin South Korea",138
ContactCars,https://www.contactcars.com/en/new-cars/hyundai-tucson/year-2026,2026-09-10,,Hyundai,Hyundai,Tucson,Tucson,NLINE (AWD),2026,SUV,SUV,,Gas,,,,,Dual Clutch,,,,5,,,,,,,,"2,300,000","2,600,000",,,EGP,"Assembled Czechia, Origin South Korea",139
ContactCars,https://www.contactcars.com/en/new-cars/hyundai-tucson/year-2027,2026-09-10,,Hyundai,Hyundai,Tucson,Tucson,SHADOW,2027,SUV,SUV,,Gas,,,,,Dual Clutch,,,,5,,,,,,,"5yr/100,000km","1,800,000","1,840,000",,,EGP,"CONFIRMED MATCH with EgyCar trim-for-trim; Hatla2ee ~25,000 EGP lower per trim - unresolved 3-way conflict",140
ContactCars,https://www.contactcars.com/en/new-cars/hyundai-tucson/year-2027,2026-09-10,,Hyundai,Hyundai,Tucson,Tucson,BLAZE,2027,SUV,SUV,,Gas,,,,,Dual Clutch,,,,5,,,,,,,"5yr/100,000km","1,950,000","2,080,000",,,EGP,"CONFIRMED MATCH with EgyCar trim-for-trim; Hatla2ee ~25,000 EGP lower per trim - unresolved 3-way conflict",141
ContactCars,https://www.contactcars.com/en/new-cars/hyundai-tucson/year-2027,2026-09-10,,Hyundai,Hyundai,Tucson,Tucson,REDLINE,2027,SUV,SUV,,Gas,,,,,Dual Clutch,,,,5,,,,,,,"5yr/100,000km","2,050,000","2,160,000",,,EGP,"CONFIRMED MATCH with EgyCar trim-for-trim; Hatla2ee ~25,000 EGP lower per trim - unresolved 3-way conflict",142
ContactCars,https://www.contactcars.com/en/new-cars/hyundai-tucson/year-2027,2026-09-10,,Hyundai,Hyundai,Tucson,Tucson,REDLINE (N Pack),2027,SUV,SUV,,Gas,,,,,Dual Clutch,,,,5,,,,,,,"5yr/100,000km","2,125,000","2,160,000",,,EGP,"CONFIRMED MATCH with EgyCar trim-for-trim; Hatla2ee ~25,000 EGP lower per trim - unresolved 3-way conflict",143
ContactCars,https://www.contactcars.com/en/new-cars/hyundai-tucson/year-2027,2026-09-10,,Hyundai,Hyundai,Tucson,Tucson,NIGHT,2027,SUV,SUV,,Gas,,,,,Dual Clutch,,,,5,,,,,,,"5yr/100,000km","2,200,000","2,760,000",,,EGP,"CONFIRMED MATCH with EgyCar trim-for-trim; Hatla2ee ~25,000 EGP lower per trim - unresolved 3-way conflict",144
ContactCars,https://www.contactcars.com/en/new-cars/hyundai-tucson/year-2027,2026-09-10,,Hyundai,Hyundai,Tucson,Tucson,BLACK DIAMOND,2027,SUV,SUV,,Gas,,,,,Dual Clutch,,,,5,,,,,,,"5yr/100,000km","2,300,000",Unavailable,,,EGP,"CONFIRMED MATCH with EgyCar trim-for-trim; Hatla2ee ~25,000 EGP lower per trim - unresolved 3-way conflict",145
ContactCars,https://www.contactcars.com/en/new-cars/hyundai-tucson/year-2027,2026-09-10,,Hyundai,Hyundai,Tucson,Tucson,NLINE (AWD),2027,SUV,SUV,,Gas,,,,,Dual Clutch,,,,5,,,,,,,"5yr/100,000km","2,400,000","2,400,000",,,EGP,"CONFIRMED MATCH with EgyCar trim-for-trim; Hatla2ee ~25,000 EGP lower per trim - unresolved 3-way conflict",146
EgyCar,https://www.egy-car.com/hyundai-tucson,2026-09-10,2026-05-06,Hyundai,Hyundai,Tucson,Tucson,SHADOW,2027,Crossover (compact),SUV,,,,1600cc turbo,180,265/1500-4500,7-speed DCT DRY,FWD/AWD,,,,451.0cm,186.5cm,165.0cm,268.0cm,503L,,"5yr/100,000km","1,800,000",,,,EGP,Agent GB Auto. PRICE_CONFLICT vs ContactCars 2026 detail page (lower); matches ContactCars 2027 summary range,147
EgyCar,https://www.egy-car.com/hyundai-tucson,2026-09-10,2026-05-06,Hyundai,Hyundai,Tucson,Tucson,BLAZE,2027,Crossover (compact),SUV,,,,1600cc turbo,180,265/1500-4500,7-speed DCT DRY,FWD/AWD,,,,451.0cm,186.5cm,165.0cm,268.0cm,503L,,"5yr/100,000km","1,950,000",,,,EGP,Agent GB Auto. PRICE_CONFLICT vs ContactCars 2026 detail page (lower); matches ContactCars 2027 summary range,148
EgyCar,https://www.egy-car.com/hyundai-tucson,2026-09-10,2026-05-06,Hyundai,Hyundai,Tucson,Tucson,REDLINE,2027,Crossover (compact),SUV,,,,1600cc turbo,180,265/1500-4500,7-speed DCT DRY,FWD/AWD,,,,451.0cm,186.5cm,165.0cm,268.0cm,503L,,"5yr/100,000km","2,050,000",,,,EGP,Agent GB Auto. PRICE_CONFLICT vs ContactCars 2026 detail page (lower); matches ContactCars 2027 summary range,149
EgyCar,https://www.egy-car.com/hyundai-tucson,2026-09-10,2026-05-06,Hyundai,Hyundai,Tucson,Tucson,REDLINE N-Line,2027,Crossover (compact),SUV,,,,1600cc turbo,180,265/1500-4500,7-speed DCT DRY,FWD/AWD,,,,451.0cm,186.5cm,165.0cm,268.0cm,503L,,"5yr/100,000km","2,125,000",,,,EGP,Agent GB Auto. PRICE_CONFLICT vs ContactCars 2026 detail page (lower); matches ContactCars 2027 summary range,150
EgyCar,https://www.egy-car.com/hyundai-tucson,2026-09-10,2026-05-06,Hyundai,Hyundai,Tucson,Tucson,NIGHT,2027,Crossover (compact),SUV,,,,1600cc turbo,180,265/1500-4500,7-speed DCT DRY,FWD/AWD,,,,451.0cm,186.5cm,165.0cm,268.0cm,503L,,"5yr/100,000km","2,200,000",,,,EGP,Agent GB Auto. PRICE_CONFLICT vs ContactCars 2026 detail page (lower); matches ContactCars 2027 summary range,151
EgyCar,https://www.egy-car.com/hyundai-tucson,2026-09-10,2026-05-06,Hyundai,Hyundai,Tucson,Tucson,BLACK DIAMOND,2027,Crossover (compact),SUV,,,,1600cc turbo,180,265/1500-4500,7-speed DCT DRY,FWD/AWD,,,,451.0cm,186.5cm,165.0cm,268.0cm,503L,,"5yr/100,000km","2,300,000",,,,EGP,Agent GB Auto. PRICE_CONFLICT vs ContactCars 2026 detail page (lower); matches ContactCars 2027 summary range,152
EgyCar,https://www.egy-car.com/hyundai-tucson,2026-09-10,2026-05-06,Hyundai,Hyundai,Tucson,Tucson,NLINE,2027,Crossover (compact),SUV,,,,1600cc turbo,180,265/1500-4500,7-speed DCT DRY,FWD/AWD,,,,451.0cm,186.5cm,165.0cm,268.0cm,503L,,"5yr/100,000km","2,400,000",,,,EGP,Agent GB Auto. PRICE_CONFLICT vs ContactCars 2026 detail page (lower); matches ContactCars 2027 summary range,153
Hatla2ee,https://eg.hatla2ee.com/en/new-car/hyundai/tucson,2026-09-10,,Hyundai,Hyundai,Tucson,Tucson,SHADOW,2027,SUV,SUV,,,,1600cc,,,,,,,,,,,,,,"100,000km/5yr","1,775,000",Data Not Available,,,EGP,"PRICE_CONFLICT: ~25,000 EGP lower than ContactCars/EgyCar 2027 range on every trim",154
Hatla2ee,https://eg.hatla2ee.com/en/new-car/hyundai/tucson,2026-09-10,,Hyundai,Hyundai,Tucson,Tucson,Blaze,2027,SUV,SUV,,,,1600cc,,,,,,,,,,,,,,"100,000km/5yr","1,925,000",Data Not Available,,,EGP,"PRICE_CONFLICT: ~25,000 EGP lower than ContactCars/EgyCar 2027 range on every trim",155
Hatla2ee,https://eg.hatla2ee.com/en/new-car/hyundai/tucson,2026-09-10,,Hyundai,Hyundai,Tucson,Tucson,Redine,2027,SUV,SUV,,,,1600cc,,,,,,,,,,,,,,"100,000km/5yr","2,025,000",Data Not Available,,,EGP,"PRICE_CONFLICT: ~25,000 EGP lower than ContactCars/EgyCar 2027 range on every trim",156
Hatla2ee,https://eg.hatla2ee.com/en/new-car/hyundai/tucson,2026-09-10,,Hyundai,Hyundai,Tucson,Tucson,Redine (N Pack),2027,SUV,SUV,,,,1600cc,,,,,,,,,,,,,,"100,000km/5yr","2,100,000",Data Not Available,,,EGP,"PRICE_CONFLICT: ~25,000 EGP lower than ContactCars/EgyCar 2027 range on every trim",157
Hatla2ee,https://eg.hatla2ee.com/en/new-car/hyundai/tucson,2026-09-10,,Hyundai,Hyundai,Tucson,Tucson,NIGHT,2027,SUV,SUV,,,,1600cc,,,,,,,,,,,,,,"100,000km/5yr","2,175,000",Data Not Available,,,EGP,"PRICE_CONFLICT: ~25,000 EGP lower than ContactCars/EgyCar 2027 range on every trim",158
Hatla2ee,https://eg.hatla2ee.com/en/new-car/hyundai/tucson,2026-09-10,,Hyundai,Hyundai,Tucson,Tucson,BLACK DIAMOND,2027,SUV,SUV,,,,1600cc,,,,,,,,,,,,,,"100,000km/5yr","2,275,000",Data Not Available,,,EGP,"PRICE_CONFLICT: ~25,000 EGP lower than ContactCars/EgyCar 2027 range on every trim",159
Hatla2ee,https://eg.hatla2ee.com/en/new-car/hyundai/tucson,2026-09-10,,Hyundai,Hyundai,Tucson,Tucson,N-Line,2027,SUV,SUV,,,,1600cc,,,,,,,,,,,,,,"100,000km/5yr","2,375,000",Data Not Available,,,EGP,"PRICE_CONFLICT: ~25,000 EGP lower than ContactCars/EgyCar 2027 range on every trim",160
Hatla2ee,https://eg.hatla2ee.com/en/new-car/hyundai/tucson,2026-09-10,,Hyundai,Hyundai,Tucson,Tucson,SHADOW,2025,SUV,SUV,,,,1600cc,,,,,,,,,,,,,,"100,000km/5yr","1,499,000","1,499,000",,,EGP,"Older cohort still listed; Market=Official for every trim (possible data-entry default, flag)",161
Hatla2ee,https://eg.hatla2ee.com/en/new-car/hyundai/tucson,2026-09-10,,Hyundai,Hyundai,Tucson,Tucson,Blaze,2025,SUV,SUV,,,,1600cc,,,,,,,,,,,,,,"100,000km/5yr","1,649,000","1,649,000",,,EGP,"Older cohort still listed; Market=Official for every trim (possible data-entry default, flag)",162
Hatla2ee,https://eg.hatla2ee.com/en/new-car/hyundai/tucson,2026-09-10,,Hyundai,Hyundai,Tucson,Tucson,Redine,2025,SUV,SUV,,,,1600cc,,,,,,,,,,,,,,"100,000km/5yr","1,749,000","1,749,000",,,EGP,"Older cohort still listed; Market=Official for every trim (possible data-entry default, flag)",163
Hatla2ee,https://eg.hatla2ee.com/en/new-car/hyundai/tucson,2026-09-10,,Hyundai,Hyundai,Tucson,Tucson,NIGHT,2025,SUV,SUV,,,,1600cc,,,,,,,,,,,,,,"100,000km/5yr","1,899,000","1,899,000",,,EGP,"Older cohort still listed; Market=Official for every trim (possible data-entry default, flag)",164
Hatla2ee,https://eg.hatla2ee.com/en/new-car/hyundai/tucson,2026-09-10,,Hyundai,Hyundai,Tucson,Tucson,BLACK DIAMOND,2025,SUV,SUV,,,,1600cc,,,,,,,,,,,,,,"100,000km/5yr","1,999,000","1,999,000",,,EGP,"Older cohort still listed; Market=Official for every trim (possible data-entry default, flag)",165
Hatla2ee,https://eg.hatla2ee.com/en/new-car/hyundai/tucson,2026-09-10,,Hyundai,Hyundai,Tucson,Tucson,N-Line,2025,SUV,SUV,,,,1600cc,,,,,,,,,,,,,,"100,000km/5yr","2,099,000","2,099,000",,,EGP,"Older cohort still listed; Market=Official for every trim (possible data-entry default, flag)",166
ContactCars,https://www.contactcars.com/en/new-cars/kia-sportage/year-2026,2026-09-10,,Kia,Kia,Sportage,Sportage,LX,2026,SUV,SUV,,,,n/a,,,Dual Clutch,,,,,,,,,,,,"1,800,000","2,040,000",,,EGP,"Assembled Slovakia, Origin South Korea",222
ContactCars,https://www.contactcars.com/en/new-cars/kia-sportage/year-2026,2026-09-10,,Kia,Kia,Sportage,Sportage,EX,2026,SUV,SUV,,,,n/a,,,Dual Clutch,,,,,,,,,,,,"1,900,000","2,120,000",,,EGP,"Assembled Slovakia, Origin South Korea",223
ContactCars,https://www.contactcars.com/en/new-cars/kia-sportage/year-2026,2026-09-10,,Kia,Kia,Sportage,Sportage,Highline,2026,SUV,SUV,,,,n/a,,,Dual Clutch,,,,,,,,,,,,"2,050,000","2,340,000",,,EGP,"Assembled Slovakia, Origin South Korea",224
ContactCars,https://www.contactcars.com/en/new-cars/kia-sportage/year-2026,2026-09-10,,Kia,Kia,Sportage,Sportage,Premium,2026,SUV,SUV,,,,n/a,,,Dual Clutch,,,,,,,,,,,,"2,275,000","2,275,000",,,EGP,"Assembled Slovakia, Origin South Korea",225
ContactCars,https://www.contactcars.com/en/new-cars/kia-sportage/year-2026,2026-09-10,,Kia,Kia,Sportage,Sportage,GT Line,2026,SUV,SUV,,,,n/a,,,Dual Clutch,,,,,,,,,,,,"2,375,000","2,375,000",,,EGP,"Assembled Slovakia, Origin South Korea",226
ContactCars,https://www.contactcars.com/en/new-cars/kia-sportage/year-2027,2026-09-10,,Kia,Kia,Sportage,Sportage,LX,2027,SUV,SUV,,,,,,,Dual Clutch,,,,,,,,,,,,"1,824,900","1,880,000",,,EGP,"CONFIRMED: 100 EGP below EgyCar/Hatla2ee on every trim - real small systematic PRICE_CONFLICT, not a rounding/summary artifact",227
ContactCars,https://www.contactcars.com/en/new-cars/kia-sportage/year-2027,2026-09-10,,Kia,Kia,Sportage,Sportage,EX,2027,SUV,SUV,,,,,,,Dual Clutch,,,,,,,,,,,,"1,924,900","1,980,000",,,EGP,"CONFIRMED: 100 EGP below EgyCar/Hatla2ee on every trim - real small systematic PRICE_CONFLICT, not a rounding/summary artifact",228
ContactCars,https://www.contactcars.com/en/new-cars/kia-sportage/year-2027,2026-09-10,,Kia,Kia,Sportage,Sportage,Highline,2027,SUV,SUV,,,,,,,Dual Clutch,,,,,,,,,,,,"2,074,900","2,100,000",,,EGP,"CONFIRMED: 100 EGP below EgyCar/Hatla2ee on every trim - real small systematic PRICE_CONFLICT, not a rounding/summary artifact",229
ContactCars,https://www.contactcars.com/en/new-cars/kia-sportage/year-2027,2026-09-10,,Kia,Kia,Sportage,Sportage,Premium,2027,SUV,SUV,,,,,,,Dual Clutch,,,,,,,,,,,,"2,299,900","2,300,000",,,EGP,"CONFIRMED: 100 EGP below EgyCar/Hatla2ee on every trim - real small systematic PRICE_CONFLICT, not a rounding/summary artifact",230
ContactCars,https://www.contactcars.com/en/new-cars/kia-sportage/year-2027,2026-09-10,,Kia,Kia,Sportage,Sportage,GT-line,2027,SUV,SUV,,,,,,,Dual Clutch,,,,,,,,,,,,"2,399,900","2,460,000",,,EGP,"CONFIRMED: 100 EGP below EgyCar/Hatla2ee on every trim - real small systematic PRICE_CONFLICT, not a rounding/summary artifact",231
EgyCar,https://www.egy-car.com/kia-sportage,2026-09-10,2026-06-22,Kia,Kia,Sportage,Sportage,LX,2027,Crossover (compact),SUV,,,,1600cc turbo,180,265/4500,7-speed DCT DRY,FWD,,,,451.5cm,186.5cm,165.0cm,268.0cm,591L (1780L folded),,"5yr/150,000km","1,825,000",,,,EGP,"Agent name inconsistency on EgyCar itself: article says EIT, specs field says EIM",232
EgyCar,https://www.egy-car.com/kia-sportage,2026-09-10,2026-06-22,Kia,Kia,Sportage,Sportage,EX,2027,Crossover (compact),SUV,,,,1600cc turbo,180,265/4500,7-speed DCT DRY,FWD,,,,451.5cm,186.5cm,165.0cm,268.0cm,591L (1780L folded),,"5yr/150,000km","1,925,000",,,,EGP,"Agent name inconsistency on EgyCar itself: article says EIT, specs field says EIM",233
EgyCar,https://www.egy-car.com/kia-sportage,2026-09-10,2026-06-22,Kia,Kia,Sportage,Sportage,Highline,2027,Crossover (compact),SUV,,,,1600cc turbo,180,265/4500,7-speed DCT DRY,FWD,,,,451.5cm,186.5cm,165.0cm,268.0cm,591L (1780L folded),,"5yr/150,000km","2,075,000",,,,EGP,"Agent name inconsistency on EgyCar itself: article says EIT, specs field says EIM",234
EgyCar,https://www.egy-car.com/kia-sportage,2026-09-10,2026-06-22,Kia,Kia,Sportage,Sportage,Premium,2027,Crossover (compact),SUV,,,,1600cc turbo,180,265/4500,7-speed DCT DRY,FWD,,,,451.5cm,186.5cm,165.0cm,268.0cm,591L (1780L folded),,"5yr/150,000km","2,300,000",,,,EGP,"Agent name inconsistency on EgyCar itself: article says EIT, specs field says EIM",235
EgyCar,https://www.egy-car.com/kia-sportage,2026-09-10,2026-06-22,Kia,Kia,Sportage,Sportage,GT Line,2027,Crossover (compact),SUV,,,,1600cc turbo,180,265/4500,7-speed DCT DRY,FWD,,,,451.5cm,186.5cm,165.0cm,268.0cm,591L (1780L folded),,"5yr/150,000km","2,400,000",,,,EGP,"Agent name inconsistency on EgyCar itself: article says EIT, specs field says EIM",236
Hatla2ee,https://eg.hatla2ee.com/en/new-car/kia/sportage,2026-09-10,,Kia,Kia,Sportage,Sportage,LX,2027,SUV,SUV,,,,1600cc,,,,,,,,,,,,,,"100,000km/5yr","1,825,000",Data Not Available,,,EGP,MATCHES EgyCar exactly; ContactCars summary off by 100 EGP (rounding),237
Hatla2ee,https://eg.hatla2ee.com/en/new-car/kia/sportage,2026-09-10,,Kia,Kia,Sportage,Sportage,EX,2027,SUV,SUV,,,,1600cc,,,,,,,,,,,,,,"100,000km/5yr","1,925,000",Data Not Available,,,EGP,MATCHES EgyCar exactly; ContactCars summary off by 100 EGP (rounding),238
Hatla2ee,https://eg.hatla2ee.com/en/new-car/kia/sportage,2026-09-10,,Kia,Kia,Sportage,Sportage,Highline,2027,SUV,SUV,,,,1600cc,,,,,,,,,,,,,,"100,000km/5yr","2,075,000",Data Not Available,,,EGP,MATCHES EgyCar exactly; ContactCars summary off by 100 EGP (rounding),239
Hatla2ee,https://eg.hatla2ee.com/en/new-car/kia/sportage,2026-09-10,,Kia,Kia,Sportage,Sportage,Premium,2027,SUV,SUV,,,,1600cc,,,,,,,,,,,,,,"100,000km/5yr","2,300,000",Data Not Available,,,EGP,MATCHES EgyCar exactly; ContactCars summary off by 100 EGP (rounding),240
Hatla2ee,https://eg.hatla2ee.com/en/new-car/kia/sportage,2026-09-10,,Kia,Kia,Sportage,Sportage,GT-line,2027,SUV,SUV,,,,1600cc,,,,,,,,,,,,,,"100,000km/5yr","2,400,000",Data Not Available,,,EGP,MATCHES EgyCar exactly; ContactCars summary off by 100 EGP (rounding),241
Hatla2ee,https://eg.hatla2ee.com/en/new-car/kia/sportage,2026-09-10,,Kia,Kia,Sportage,Sportage,LX,2025,SUV,SUV,,,,1600cc,,,,,,,,,,,,,,"100,000km/5yr","1,799,900","1,799,900",,,EGP,Older cohort; Market=Official exactly (same pattern as Tucson 2025),242
Hatla2ee,https://eg.hatla2ee.com/en/new-car/kia/sportage,2026-09-10,,Kia,Kia,Sportage,Sportage,EX,2025,SUV,SUV,,,,1600cc,,,,,,,,,,,,,,"100,000km/5yr","1,919,900","1,919,900",,,EGP,Older cohort; Market=Official exactly (same pattern as Tucson 2025),243
Hatla2ee,https://eg.hatla2ee.com/en/new-car/kia/sportage,2026-09-10,,Kia,Kia,Sportage,Sportage,Highline,2025,SUV,SUV,,,,1600cc,,,,,,,,,,,,,,"100,000km/5yr","2,024,900","2,024,900",,,EGP,Older cohort; Market=Official exactly (same pattern as Tucson 2025),244
Hatla2ee,https://eg.hatla2ee.com/en/new-car/kia/sportage,2026-09-10,,Kia,Kia,Sportage,Sportage,Top Line,2025,SUV,SUV,,,,1600cc,,,,,,,,,,,,,,"100,000km/5yr","2,149,900","2,149,900",,,EGP,Older cohort; Market=Official exactly (same pattern as Tucson 2025),245
Hatla2ee,https://eg.hatla2ee.com/en/new-car/kia/sportage,2026-09-10,,Kia,Kia,Sportage,Sportage,GT-Line,2025,SUV,SUV,,,,1600cc,,,,,,,,,,,,,,"100,000km/5yr","2,274,900","2,274,900",,,EGP,Older cohort; Market=Official exactly (same pattern as Tucson 2025),246
ContactCars,https://www.contactcars.com/en/new-cars/kia-seltos/year-2026,2026-09-10,,Kia,Kia,Seltos,Seltos,EX,2026,SUV,SUV,,,,,,,Automatic,,,,,,,,,,,,"1,350,000","1,360,000",,,EGP,"Assembled China, Origin South Korea",247
ContactCars,https://www.contactcars.com/en/new-cars/kia-seltos/year-2026,2026-09-10,,Kia,Kia,Seltos,Seltos,Highline Turbo,2026,SUV,SUV,,,,,,,Automatic,,,,,,,,,,,,"1,500,000",Unavailable,,,EGP,"Assembled China, Origin South Korea",248
ContactCars,https://www.contactcars.com/en/new-cars/kia-seltos/year-2026,2026-09-10,,Kia,Kia,Seltos,Seltos,Topline Turbo,2026,SUV,SUV,,,,,,,Automatic,,,,,,,,,,,,"1,625,000","1,625,000",,,EGP,"Assembled China, Origin South Korea",249
